Time,Altitude,Velocity,Accel,Mass,Dyn. Pressure,Mach,Atm. Pressure,Stag. Temp,Flight_Type,Mission_ID
0.0,0.0,0.0,0.8,421300.0,0.0,0.0,101325.0,288.15,Heavy_Lift_Standard,M-001
1.0,3.95,7.93,0.82,417934.01,38.48,0.0233,101277.53,288.16,Heavy_Lift_Standard,M-001
2.0,15.9,16.0,0.83,414568.74,156.53,0.047,101134.1,288.17,Heavy_Lift_Standard,M-001
3.0,36.0,24.21,0.85,411204.91,357.9,0.0712,100893.31,288.21,Heavy_Lift_Standard,M-001
4.0,64.38,32.58,0.86,407843.26,646.07,0.0958,100553.96,288.26,Heavy_Lift_Standard,M-001
5.0,101.2,41.09,0.88,404484.52,1024.21,0.1209,100115.11,288.33,Heavy_Lift_Standard,M-001
6.0,146.61,49.76,0.89,401129.43,1495.14,0.1465,99576.04,288.43,Heavy_Lift_Standard,M-001
7.0,200.77,58.57,0.91,397778.73,2061.3,0.1725,98936.26,288.55,Heavy_Lift_Standard,M-001
8.0,263.82,67.55,0.92,394433.13,2724.69,0.1991,98195.59,288.71,Heavy_Lift_Standard,M-001
9.0,335.92,76.68,0.94,391093.36,3486.81,0.2262,97354.07,288.89,Heavy_Lift_Standard,M-001
10.0,417.23,85.97,0.96,387760.13,4348.67,0.2538,96412.06,289.12,Heavy_Lift_Standard,M-001
11.0,507.88,95.36,0.98,384434.11,5303.78,0.2819,95370.62,289.37,Heavy_Lift_Standard,M-001
12.0,607.98,104.94,1.0,381115.98,6360.72,0.3105,94231.14,289.68,Heavy_Lift_Standard,M-001
13.0,717.71,114.71,1.01,377806.37,7518.83,0.3399,92994.85,290.03,Heavy_Lift_Standard,M-001
14.0,837.22,124.66,1.03,374505.89,8776.63,0.3698,91663.26,290.44,Heavy_Lift_Standard,M-001
15.0,966.69,134.79,1.05,371215.13,10131.95,0.4005,90238.22,290.91,Heavy_Lift_Standard,M-001
16.0,1106.28,145.11,1.07,367934.65,11581.85,0.4318,88721.87,291.44,Heavy_Lift_Standard,M-001
17.0,1256.17,155.6,1.08,364664.95,13122.62,0.4639,87116.69,292.03,Heavy_Lift_Standard,M-001
18.0,1416.54,166.28,1.1,361406.54,14749.76,0.4966,85425.46,292.7,Heavy_Lift_Standard,M-001
19.0,1587.55,177.15,1.12,358159.85,16457.98,0.5302,83651.3,293.45,Heavy_Lift_Standard,M-001
20.0,1769.4,188.2,1.14,354925.29,18241.15,0.5644,81797.64,294.28,Heavy_Lift_Standard,M-001
21.0,1962.25,199.44,1.16,351703.24,20092.55,0.5995,79868.29,295.19,Heavy_Lift_Standard,M-001
22.0,2166.28,210.86,1.18,348494.02,22004.64,0.6354,77867.43,296.2,Heavy_Lift_Standard,M-001
23.0,2381.65,222.49,1.2,345297.91,23969.07,0.6721,75799.51,297.3,Heavy_Lift_Standard,M-001
24.0,2608.56,234.31,1.22,342115.16,25976.67,0.7097,73669.24,298.52,Heavy_Lift_Standard,M-001
25.0,2847.16,246.32,1.24,338945.96,28017.52,0.7483,71481.64,299.84,Heavy_Lift_Standard,M-001
26.0,3097.66,258.54,1.26,335790.48,30080.95,0.7878,69241.95,301.28,Heavy_Lift_Standard,M-001
27.0,3360.22,270.96,1.28,332648.82,32152.88,0.8283,66955.7,302.85,Heavy_Lift_Standard,M-001
28.0,3635.01,283.53,1.3,329521.05,34212.28,0.8696,64628.87,304.53,Heavy_Lift_Standard,M-001
29.0,3922.15,296.26,1.31,326407.21,36243.74,0.9119,62267.81,306.34,Heavy_Lift_Standard,M-001
30.0,4221.78,309.13,1.33,323307.29,38231.97,0.9551,59879.05,308.27,Heavy_Lift_Standard,M-001
31.0,4534.02,322.15,1.34,320221.23,40161.4,0.9992,57469.27,310.33,Heavy_Lift_Standard,M-001
32.0,4858.78,334.9,1.32,317148.94,41914.19,1.043,55046.81,312.38,Heavy_Lift_Standard,M-001
33.0,5196.01,347.86,1.34,314090.28,43599.77,1.088,52619.53,314.6,Heavy_Lift_Standard,M-001
34.0,5545.91,361.05,1.37,311045.08,45208.93,1.1343,50193.39,316.98,Heavy_Lift_Standard,M-001
35.0,5908.69,374.49,1.39,308013.14,46730.54,1.1821,47774.36,319.54,Heavy_Lift_Standard,M-001
36.0,6284.68,388.5,1.47,304994.25,48230.62,1.2324,45367.79,322.42,Heavy_Lift_Standard,M-001
37.0,6674.47,402.95,1.5,301988.16,49658.75,1.2848,42977.51,325.57,Heavy_Lift_Standard,M-001
38.0,7078.3,417.63,1.52,298994.63,50951.63,1.3388,40609.71,328.94,Heavy_Lift_Standard,M-001
39.0,7496.39,432.56,1.55,296013.38,52096.5,1.3945,38270.75,332.54,Heavy_Lift_Standard,M-001
40.0,7928.95,447.75,1.57,293044.12,53081.2,1.452,35966.83,336.38,Heavy_Lift_Standard,M-001
41.0,8376.23,463.19,1.6,290086.55,53894.31,1.5114,33704.02,340.48,Heavy_Lift_Standard,M-001
42.0,8838.43,478.9,1.63,287140.33,54525.27,1.5728,31488.19,344.84,Heavy_Lift_Standard,M-001
43.0,9315.81,494.88,1.66,284205.13,54964.58,1.6363,29324.97,349.48,Heavy_Lift_Standard,M-001
44.0,9808.61,511.14,1.69,281280.6,55203.87,1.7021,27219.73,354.42,Heavy_Lift_Standard,M-001
45.0,10317.08,527.69,1.72,278366.38,55236.14,1.7703,25177.57,359.67,Heavy_Lift_Standard,M-001
46.0,10841.47,544.54,1.75,275462.11,55055.82,1.8411,23203.21,365.25,Heavy_Lift_Standard,M-001
47.0,11382.06,561.7,1.78,272567.41,54052.62,1.9036,21308.74,373.67,Heavy_Lift_Standard,M-001
48.0,11939.13,579.18,1.81,269681.92,52636.8,1.9629,19516.76,383.59,Heavy_Lift_Standard,M-001
49.0,12512.97,597.0,1.85,266805.28,51086.93,2.0233,17828.26,394.02,Heavy_Lift_Standard,M-001
50.0,13103.88,615.16,1.88,263937.13,49416.43,2.0848,16242.05,404.98,Heavy_Lift_Standard,M-001
51.0,13712.18,633.67,1.92,261077.09,47639.4,2.1475,14756.46,416.49,Heavy_Lift_Standard,M-001
52.0,14338.18,652.54,1.96,258224.81,45770.45,2.2115,13369.38,428.57,Heavy_Lift_Standard,M-001
53.0,14982.21,671.78,1.99,255379.92,43824.54,2.2767,12078.3,441.25,Heavy_Lift_Standard,M-001
54.0,15644.58,691.4,2.03,252542.05,41816.78,2.3432,10880.37,454.55,Heavy_Lift_Standard,M-001
55.0,16325.66,711.39,2.07,249710.84,39762.32,2.4109,9772.4,468.51,Heavy_Lift_Standard,M-001
56.0,17025.77,731.78,2.11,246885.95,37676.12,2.48,8750.94,483.15,Heavy_Lift_Standard,M-001
57.0,17745.27,752.56,2.15,244067.01,35572.83,2.5505,7812.33,498.51,Heavy_Lift_Standard,M-001
58.0,18484.52,773.75,2.2,241253.69,33466.6,2.6223,6952.7,514.6,Heavy_Lift_Standard,M-001
59.0,19243.88,795.36,2.24,238445.66,31370.99,2.6955,6168.07,531.48,Heavy_Lift_Standard,M-001
60.0,20023.74,817.39,2.28,235642.58,29298.78,2.7702,5454.33,549.16,Heavy_Lift_Standard,M-001
61.0,20824.48,839.84,2.33,232844.15,27261.9,2.8463,4807.33,567.68,Heavy_Lift_Standard,M-001
62.0,21646.47,862.74,2.37,230050.04,25271.29,2.9239,4222.9,587.08,Heavy_Lift_Standard,M-001
63.0,22490.12,886.09,2.42,227259.97,23336.85,3.003,3696.87,607.4,Heavy_Lift_Standard,M-001
64.0,23355.84,909.89,2.47,224473.64,21467.35,3.0837,3225.12,628.67,Heavy_Lift_Standard,M-001
65.0,24244.03,934.16,2.51,221690.79,19670.41,3.1659,2803.62,650.95,Heavy_Lift_Standard,M-001
66.0,25155.13,958.9,2.56,218911.14,17952.45,3.2498,2428.42,674.25,Heavy_Lift_Standard,M-001
67.0,26089.55,984.12,2.61,216134.46,16318.67,3.3352,2095.71,698.65,Heavy_Lift_Standard,M-001
68.0,27047.73,1009.84,2.66,213360.49,14773.11,3.4224,1801.82,724.17,Heavy_Lift_Standard,M-001
69.0,28030.13,1036.06,2.71,210589.01,13318.62,3.5113,1543.24,750.87,Heavy_Lift_Standard,M-001
70.0,29037.2,1062.8,2.77,207819.81,11956.94,3.6019,1316.63,778.79,Heavy_Lift_Standard,M-001
71.0,30069.4,1090.06,2.82,205052.68,10688.78,3.6943,1118.86,808.0,Heavy_Lift_Standard,M-001
72.0,31127.22,1117.85,2.88,202287.44,9513.82,3.7885,946.96,838.54,Heavy_Lift_Standard,M-001
73.0,32211.14,1146.2,2.93,199523.9,8430.87,3.8845,798.18,870.48,Heavy_Lift_Standard,M-001
74.0,33321.65,1175.1,2.99,196761.91,7437.91,3.9825,669.96,903.87,Heavy_Lift_Standard,M-001
75.0,34459.28,1204.58,3.05,194001.3,6532.21,4.0824,559.94,938.77,Heavy_Lift_Standard,M-001
76.0,35624.54,1234.64,3.11,191241.94,5710.45,4.1842,465.95,975.27,Heavy_Lift_Standard,M-001
77.0,36817.97,1265.3,3.17,188483.69,4968.77,4.2882,386.02,1013.42,Heavy_Lift_Standard,M-001
78.0,38040.12,1296.58,3.24,185726.43,4302.91,4.3942,318.35,1053.3,Heavy_Lift_Standard,M-001
79.0,39291.55,1328.49,3.3,182970.06,3708.34,4.5023,261.34,1094.99,Heavy_Lift_Standard,M-001
80.0,40572.85,1361.06,3.37,180214.46,3180.27,4.6127,213.53,1138.58,Heavy_Lift_Standard,M-001
81.0,41884.61,1394.29,3.44,177459.55,2713.82,4.7253,173.63,1184.14,Heavy_Lift_Standard,M-001
82.0,43227.44,1428.2,3.51,174705.24,2304.06,4.8402,140.5,1231.78,Heavy_Lift_Standard,M-001
83.0,44601.97,1462.82,3.58,171951.47,1946.1,4.9576,113.12,1281.6,Heavy_Lift_Standard,M-001
84.0,46008.86,1498.17,3.66,169198.15,1635.14,5.0774,90.61,1333.68,Heavy_Lift_Standard,M-001
85.0,47448.77,1534.27,3.73,166445.24,1366.54,5.1997,72.21,1388.16,Heavy_Lift_Standard,M-001
86.0,48922.4,1571.13,3.81,163692.67,1135.87,5.3247,57.23,1445.14,Heavy_Lift_Standard,M-001
87.0,50430.47,1608.8,3.89,160940.4,938.92,5.4523,45.12,1504.75,Heavy_Lift_Standard,M-001
88.0,51973.7,1647.29,3.98,158188.38,771.75,5.5827,35.37,1567.12,Heavy_Lift_Standard,M-001
89.0,53552.87,1686.63,4.07,155436.59,630.71,5.7161,27.58,1632.39,Heavy_Lift_Standard,M-001
90.0,55168.75,1726.85,4.16,152684.98,512.43,5.8524,21.37,1700.72,Heavy_Lift_Standard,M-001
91.0,56822.19,1767.98,4.25,149933.53,413.85,5.9918,16.47,1772.25,Heavy_Lift_Standard,M-001
92.0,58514.01,1810.05,4.35,147182.21,332.21,6.1344,12.61,1847.17,Heavy_Lift_Standard,M-001
93.0,60245.1,1853.11,4.45,144431.0,265.02,6.2803,9.6,1925.66,Heavy_Lift_Standard,M-001
94.0,62016.37,1897.18,4.56,141679.89,210.08,6.4296,7.26,2007.91,Heavy_Lift_Standard,M-001
95.0,63828.78,1942.3,4.67,138928.86,165.46,6.5825,5.46,2094.13,Heavy_Lift_Standard,M-001
96.0,65683.3,1988.52,4.78,136177.88,129.45,6.7392,4.07,2184.55,Heavy_Lift_Standard,M-001
97.0,67580.97,2035.87,4.9,133426.97,100.6,6.8997,3.02,2279.4,Heavy_Lift_Standard,M-001
98.0,69522.85,2084.42,5.02,130676.09,77.64,7.0642,2.22,2378.94,Heavy_Lift_Standard,M-001
99.0,71510.05,2134.2,5.15,127925.25,59.49,7.2329,1.62,2483.46,Heavy_Lift_Standard,M-001
100.0,73543.75,2185.27,5.29,125174.44,45.26,7.406,1.18,2593.24,Heavy_Lift_Standard,M-001
101.0,75625.15,2237.69,5.43,122423.66,34.18,7.5836,0.85,2708.62,Heavy_Lift_Standard,M-001
102.0,77755.52,2291.51,5.57,119672.89,25.62,7.766,0.61,2829.95,Heavy_Lift_Standard,M-001
103.0,79936.2,2346.81,5.73,116922.13,19.05,7.9534,0.43,2957.59,Heavy_Lift_Standard,M-001
104.0,82168.56,2403.65,5.89,114171.39,14.05,8.1461,0.3,3091.96,Heavy_Lift_Standard,M-001
105.0,84454.07,2462.1,6.05,111420.66,10.28,8.3442,0.21,3233.51,Heavy_Lift_Standard,M-001
106.0,86794.27,2522.25,6.23,108669.93,7.46,8.548,0.15,3382.72,Heavy_Lift_Standard,M-001
107.0,89190.74,2584.18,6.42,105919.21,5.37,8.7579,0.1,3540.12,Heavy_Lift_Standard,M-001
108.0,91645.2,2647.99,6.61,103168.5,3.83,8.9742,0.07,3706.27,Heavy_Lift_Standard,M-001
109.0,94159.42,2713.78,6.82,100417.78,2.7,9.1971,0.05,3881.82,Heavy_Lift_Standard,M-001
110.0,96735.29,2781.65,7.04,97667.07,1.89,9.4272,0.03,4067.45,Heavy_Lift_Standard,M-001
111.0,99374.79,2851.73,7.27,94916.37,1.31,9.6647,0.02,4263.92,Heavy_Lift_Standard,M-001
112.0,102080.02,2924.15,7.52,92165.66,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
113.0,104853.23,2999.04,7.78,89414.95,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
114.0,107696.76,3076.55,8.05,86664.25,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
115.0,110613.15,3156.87,8.35,83913.54,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
116.0,113605.08,3240.17,8.66,81162.84,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
117.0,116675.41,3326.66,9.0,78412.14,0.0,0.0,0.0,216.65,Heavy_Lift_Standard,M-001
